a	एक
feat	असाधारण कार्य,करतूत
feather	पर,पंख
featherbed	पंखों से भरा गद्दा
featherboa	अंगोछा
featherbrained	बेवकूफ
featherweight	कम वजन का मुक्केबाज
feathery	पंख के समान
feature	विशेषता,लक्षण,आकृति,रूप,दिखाना
featured	प्रधान
featureless	आकृतिहीन
features	आकृति
febricity	ज्वर
febricula	हरारत
febrile	ज्वर-विषयक
fecal	विष्ठा संबंधी
feces	विष्ठा
feckless	निर्जीव- निस्तेज,लापरवाह
fecklessness	लापरवाही
feculence	गन्दगी
feculent	गन्दा-मैला
fecund	उपजाऊ,उर्वर
fecundate	गर्भाधान करना
fecundity	उर्वरता,उत्पादकता,जननशक्ति
federal	संघीय
federalism	संघ का अनुमोदन करना
federalist	संघवादी,संघवादी
federalists	संघवादी
federalization	संघीकरण
federalize	संघबद्ध हो  जाना,संघबद्ध करना
federally	संघीय सरकार द्वारा
federate	संघबद्व हो जाना
federation	संघ,राज्यसंघ
fedora	फ़ेडोरा
fee	षुल्क,पारिश्रमिक
feeble	मामूली,कमजोर,अशक्त
feebleness	कमज़ोरी
feebly	दुर्बलता से
feed	खिलाना,भरना,पुष्टि करना,देना
feedback	प्रतिपुष्टि,फीडबैक,पुनर्निवेशन
feedbag	खाने का थैला
feeder	सहायक,खाद्यार्थ पोषित,संभरक,संभरक,खाने वाला,अन्न.पात्र
feel	स्पर्श करना,महसूस करना,अनुभव करना
feeler	महसूस करने वाला
feeling	विद्वेष,क्षमता,अभिवृत्ति,वेदना,उत्तेजना,विचार,दया,धारणा,अनुभव,आशंका,सहानुभूति,एहसास,भावना,भावना,भावना,अनुभव,इन्द्रिय.बोध,सामन्य.बोध,संवेदना,इमानदारी,सहानुभूति,क्षमता,प्रेम,अनुभूति,अनुभूति
feelingly	भावना सहित
feelings	भावना
feet	पैर
feign	का बहाना करना,का अभिनय करना
feigned	झूठा
feint	छल कपट,बहाना
feisty	अधिक शक्तिशाली
feldspar	एक प्रकार का खनिज
feliciation	अभिनन्दन करना
felicific	सुखद
felicitation	बधाई
felicitous	परम सुखी
felicitously	आनन्द से
felicity	उत्तम प्रकार से
felid	विडाल- वंशी
feline	विडाल- वशी,धूर्त
felinity	विडालतव
fell	खाल,छाला,गिराना
fella	युवा मिट्र,लड़का,प्रेमी,आदमी
fellatio	मुँह से लिंग को उत्तेजित करना
felloe	नेमि
fellow	साथी,संगी,सदस्य,व्यक्ति
fellowship	सदस्यता,शिक्षावृत्ति,अध्येतावृत्ति,भाईचारा,संघ
felon	महापराधी
felony	महापराध,महापराध
felt	नमदा
fem	स्त्री
female	मादा
femaleness	नारीत्व
feminality	नारीत्व
feminine	स्त्रीसम्बन्धी,नारी- सुलभ,जनाना
feminineness	नारीत्व
femininity	नारीत्व,स्त्रीवर्ग
feminism	नारी- आन्दोलन,नारीवाद
feminist	नारी अधिकारवादी
feminity	स्त्री.प्रकृति
feminize	नारी- सुलभ बनाना
femoral	ऊरु
femur	ऊर्वस्थि
fen	दलदल
fenal	पाशविक
fence	बाड़ा,बाड़,घेरा,बचाव
fencer	असि योद्धा
fencing	घेराबन्दी
fend	से बचाव करना
fender	आघात से बचाव का साधन
fenestra	गवाक्ष
fenland	दलदल
fennel	सौंफ,कलौंजी
fenugreek	मेथी
feoff	जागीर
feral	जंगली,वन्य,क्रूर
feretory	तबर्रुक पात्र,अर्थी,मकबरा,समाधि
ferial	वारीय,साधारण,सामान्य
ferment	किण्व,खमीर,जामन
fermentation	उत्तेजना,किण्वन,खमीरण
fermented	किण्वित
fermenting	खमीरण,किन्वण
fern	पंर्णाग
ferny	पर्णाम्घ के समान,पर्णांगी
ferocious	उग्र,त्रूर
ferociously	खूँखार रूप से
ferociousness	उग्रता
ferocity	उग्रता
ferreous	लोहमय
ferret	नेवले की जाति का जानवर
ferretout	खोज निकालना
ferriage	तारण,घाटषुल्क
ferric	फेरिक
ferriferous	लोहमय
ferrous	फेरस
ferruginous	लोहमय
ferrule	लोहे की मुंदरी
ferry	तारण,नौधाट,नौका
ferryboat	नदी पार उतरने की बड़ी नाव
ferryman	मल्लाह
fertile	उपजाऊ
fertilisation	उपजाऊ बनाने की विधि
fertilise	उर्वर बनाना,निषेचित करना,गर्भाधान करना
fertiliser	खाद
fertility	उपजाऊपन,उर्वरता
fertilization	उपजाऊ बनाने की विधि
fertilize	उर्वर बनाना,निषेचित करना,गर्भाधान करना
fertilizer	खाद
ferule	बेंत,छ़डी
fervency	जोश,उत्सुक्ता
fervent	जोशीला,सरगर्म,उत्साही
fervently	उत्कटतापूर्वक
fervid	आवेशपूर्ण
fervor	जोश
fervour	जोश,सरगर्मी
festal	उत्सव का,आनन्दमय
fester	पूयन,मवाद से भर जाना,सड़ना,गलना
festering	पीप
festival	उत्सव,त्योहार,पर्व,मेला
festive	उत्सव- सम्बधी
festivity	ओमोद- प्रमोद,आनन्दोत्सव
festoon	बन्दनवार,तोरण
feta	भेड़ के दूध से बना पनीर
fetal	भ्रूण जैसा,भ्रूण संबंधी,भ्रूण संबंधी
fetch	लाना,ले आना,पर बिकना
fetching	आकर्षक,लुभावना
fetchingly	आकर्षक रूप से
fete	मेला
feticide	गर्भपात
fetid	बदबूदार
fetish	पूजा- वस्तु,तावीज
fetishism	जादू टोने में विश्वास रखना
fetishist	जादू टोने में विश्वास करने वाला
fetlock	टखना
fetor	दुर्गन्ध
fetta	भेड़ के दूध से बना पनीर
fetter	बेड़ी,बाधा,रूकावट
fettle	दशा,हालत
fetus	भ्रूण
fetwa	फतवा
feud	षत्रुता,कुलबैर,झगड़ा
feudal	सामन्ती
feudalism	जागीरदारी प्रथा
feudalistic	सामंतशाही संबंधी
feudatory	सामन्त,जागीरदार
feuding	शत्रुता
fever	ज्वर,बुखार,उत्तेजना
fevered	चिंतामय,ज्वर से तप्त
feverish	ज्वरजन्य,ज्वरग्रस्त,उत्तेजित
feverishly	उत्तेजित अवस्था में
few	कुछ,थोडे से
fewer	से कम
fey	र्मूखता भरा
fez	फेज
ff	और आगे के
fiabbergast	विस्मित कर देना
fiance	वाग्दत्त
fiancee	वाग्दत
fiasco	घोरअसफलता
fiat	आदेश
fib	झूठ,गप
fibber	झूठ बोलने वाला
fiber	रेशा,तन्तु
fibre	प्रकृति,रेशा,तंतु,तंतु,मोटा चारा,रूक्षांश,तंतु
fibreglass	फ़ायब्र ग्लास
fibril	रेशक
fibrosis	तन्तुशोथ
fibrous	रेशेदार
fibula	बहिर्जघिका
fichu	दुपट्टा
fickle	चंचल,अस्थिर
fickleness	अस्थिरता,अविश्वसनीयता
fictile	मृण्मय,मृतिका
fiction	कल्पना
fictional	कल्पित,कथा साहित्य संबंधी
fictionalise	कल्पना से गढ़ना
fictionalize	कल्पना से गढ़ना
fictitious	कल्पित,अवास्तविक
fictive	कल्पनक
fiddle	बेला,वर्यथ समय नष्ट करना
fiddler	सारंगी बजाने वाला
fiddling	नगण्य
fiddly	जटिल
fideism	प्रतीतिवाद,आस्थावाद
fidelity	ईमानदारी,कर्तव्यपरायणता,सच्चाई
fidget	बेचैनी
fidgety	बेचैन
fiducial	विश्वास्य
fiduciary	न्यासीय
fie	छि:,छी
fief	जागीर
field	क्षेत्र,खेत,मेदान
fieldsman	क्षेट्र रक्षक
fieldsman	क्षेत्र रक्षक
fieldwork	क्षेट्रकार्य
fiend	नरकदूंत,राक्षस,बदमाष
fiendish	गूढ़,क्रूर
fiendishly	नीचता की हद करना
fierce	हिसंक,खुखाॅंर,भीषण
fiercely	उग्रतापूर्वक
fierceness	प्रचंडता
fiery	अग्निमय,प्रज्वलित,प्रचण्ड
fiesta	त्योहार
fife	मुरली
fifteen	पन्द्रह
fifteenth	पंद्रहवाँ
fifteeth	पचासवाँ
fifth	पंचम,पाॅचवा
fifthly	पाँचवें स्थान पर
fiftieth	पचासवाँ,पचासवाँ
fifty	पचास
fig	अंजीर
fight	लड़ाई,लड़ना,विरोध करना
fighter	लड़ाकू,लड़ाई करनेवाला
fighting	लड़ाई,युद्धरत
figment	कल्पना
figuline	मृण्मय,मृत्पात्र
figuration	गढ़न
figurative	प्रतीकात्मक,चित्रसम्बन्धी,अलंकृत
figuratively	लाक्षणिक रूप से
figure	रुप,आकार,आकृति,राषि,आंकड़े
figured	अलंकृत
figurehead	जहाज़ के अगले भाग पर लगाने वाली मूर्ति
figures	अंक
figurine	एक छोटी मूर्ति
filament	तन्तु
filbert	पहाड़ी बादाम
filch	चुराना
file	फाइल,नत्थी,संचिका,पंक्ति,रेती,घिसना,दायर करना
filer	रेतिया
filial	पुत्रोचित
filiation	पुत्रत्व,उत्पति,उद्गम,षाखा
filibuster	जलदस्यु,अड़गेबाज
filiform	तंतुरुप,सूत्राकार
filigree	जरदोजी का काम
filing	नत्थीकरण
filings	बुरादा
fill	भरना
fille	नवयुवती,युवती
filler	वस्तु को भर देना
fillet	पटिटका
filling	गरिष्ठ,भराई,भरावन,भराई,बाना
fillip	चुटकी,प्रोत्साहन
filly	बछेड़ी
film	झिल्ली,परत,पटल,तह,चलचित्र
filmed	चल.चित्रित
filming	चल.चित्रण
filmy	बहुत महीन
filofax	डायरी
filter	निस्यन्दक,छनना,छानना
filteration	छानन
filtered	छना हुआ
filth	गन्दगी
filthy	गंदा,अश्लील,बहुत ही,बहुत ही खराब
filtrate	निसंयद
filtration	निस्यन्दन
fimbriate	झालरदार
fin	मीनपक्ष
finable	दण्डनीय,शोघनीय
finagle	काम निकालना
finagler	चालबाज़
final	अन्तिम,निणा्रयक,आखिरी
finale	समापन
finalisation	निश्चयात्मकता
finalise	अंतिम निर्णय लेना
finalist	निर्णायक दौर में पहुँचने वाला व्यक्ति
finality	अन्तिमता
finalization	निश्चयात्मकता
finalize	अन्तिम रुप देना
finally	अंत में,अंततः,अंततोगत्वा
finance	वित्त,अर्थ,पूंजी लगाना
financial	वित्तीय
financially	आर्थिक रूप से
financier	वितदक्ष,पूंजीपति
financing	वितप्रबन्ध
finch	तूती
find	पाना,प्राप्त करना,ढूॅढना,समझना
finder	ढूँढने वाला
finding	जाँच परिणाम,निष्कर्ष,निर्णय
fine	उत्तम,बढ़िया,अच्छा,महीन,सुहावना,पतला,जुर्माना
finely	बारीकी से,सुंदरतापूर्वक,सूक्षमतापूर्वक
fineness	सुकुमारता,सूक्षमता,उत्कृष्टता,पतलापन
finery	अलंकारित वस्त्र आदि
finesse	चालाकी,कौषल
finger	उॅंगली
fingering	आंगुलिक मुद्रा
fingernail	नाखून
fingerprint	अंगुली का निशान
fingertip	उंगली का पोर
finial	स्तूपिका,कलष
finical	नकचढ़ा,तुनकमिजाज,नाजुक
finicky	नकचढ़ा
fining	विमलीकरण
finish	समाप्त करना,पूरा करना,अंत
finished	बरबाद,तैयार,समाप्त,परिपूर्ण,समाप्त,परिष्कृत,परिसज्जित
finisher	समाप्त करने वाला
finite	सीमित,सावधि
fink	हड़ताली की जगह काम पर लग जाना,मुखबिर
finlet	पखिका
fiord	पहाडों के बीच का समुद्री भाग
fir	देवदारु
fire	आग,दहन,सुलगाना,दागना,छोड़ना
firearm	अग्न्यस्ट्र
firebird	सिंदूरी बुलबुल
firebrand	जल्दी उत्तेजित होने वाला
firecracker	पटाका
fired	अग्नि प्रज्ज्वलन
firefly	जुगुनू,जुगुनू
firelight	अग्नि का प्रकाश
fireman	अग्निशामक व्यक्ति,फायरमैन
fireplace	भट्टी,चूल्हा,अंगीठी,चूल्हा,चूल्हा,चूल्हा
fireproof	अग्नि निरोधक
fireside	अंगीठी का कार्निस
firewood	ईंधन की लकड़ी
firework	शोरशराबा,आतिशबाज़ी
firing	गोलाबारी,जलावन
firkin	पीपा
firm	दृढ़,स्थिर,स्थायी,ठोस,व्यवसायसघं
firmament	आकाश
firman	फरमान
firmly	मज़बूती से
firmness	मजबूती,दृढ़ता
firn	कणहिम
first	पहला,प्रथम
firsthand	प्रत्यक्ष,प्रत्यक्ष रूप से,प्रत्यक्ष,प्रत्यक्ष
firstly	सबसे पहला
firth	मुहाना
fisc	राजकोष
fiscal	वित्तीय,राजस्व
fish	मछली
fishculture	मत्स्य
fisherman	मछियारा,मछियारा,मछियारा,मछियारा,मछियारा,मछुआ
fishery	मछली पकड़ने की जगह
fishhook	बंसी का काँटा
fishily	संदिग्ध रूप से
fishing	मछली मारना,मछली पकड़ना
fishmonger	मछली का व्यापारी
fishnet	मछली पकड़ने का जाल
fishworm	केंचुआ
fishy	मछली जैसा,सन्देहास्पद
fissalparous	जीव कोशों के विभाजन से उत्तपन्न कोश
fissile	विखण्डन
fission	विखण्डन
fissiparous	पृथकतावादी
fissiped	विलग्नागुल
fissure	विदर,दरार,फटना
fissured	दरारदार
fist	मुक्का,मुट्ठी,घूॅंसा
fistcuffs	मुक्केबाज़ी
fistful	मुट्ठी भर
fisticuffs	मुक्केबाज़ी
fit	दौरा,मूचर्छा,आवेष,ठीक,लायक,अनुरूप,स्वस्थ
fitchew	मार्जारिका
fitful	अनियमित
fitfully	अनियमित ढंग से
fitment	उपकरण
fitness	दुरुस्ती,योग्यता
fitted	सही नाप का,अनुरूप बनाया गया,फ़िट किया हुआ,युक्त,उपयुक्त
fitter	मिस्त्री,फ़िटर
fitting	उपयुक्त,फ़िटिंग,उपस्कर,पुर्जा,अनुकूलन
fittingly	उपयुक्त रूप से
five	पाॅंच
fivefold	पाँच गुना
fiver	पाँच पौंड का नोट
fives	एक गेंद का खेल
fix	उलझन,जमाना,जड़ना,जोड़ना,निष्चित करना,नियत करना
fixable	मरम्मत योग्य
fixated	नियम विपरीत
fixation	ग्रस्तता,यौगिकीकरण
fixative	चिपकाने वाला पदार्थ,स्थिरीकारक
fixed	निर्धारित,दृढ,निर्धारित,स्थिर,स्थायी
fixedly	दृढतापूर्वक
fixer	बिचौलिया,मरम्मत करने वाला,मिस्त्री,स्थिरीकारक
fixing	मरम्मती
fixings	अन्य सामग्री
fixity	दृढ निश्चय
fixture	मरम्मती,क्रीड़ा प्रतियोगिता,जोड़ा गया उपकरण
fizz	सनसनाना
fizzle	असफल होना
fizzleout	असफल रहना
fizzy	बुदबुदानेवाला
flab	अतिरिक्त माँस
flabbergast	अचंभित करना
flabbergasted	भौंचक्का
flabby	ढीला,षिथिल
flabellum	चॅंवर
flaccid	ढीला,षिथिल
flack	जमीन पर से हवाई जहाज पर  हमला
flag	झण्डा,पताका,सन्देष भेजना,मुरझाना
flagellate	कोंडे मारना
flagellation	कोड़ो की मार
flagellum	कोडा चाबुक
flageolet	मुरली
flagged	पत्थर जडना
flagitious	कुकर्मी,कुख्यात
flagon	सुराही
flagpole	झंडा फहराने का स्तम्भ
flagrancy	घोरता,जघन्यता
flagrant	ज्वलंत अवहेलना
flagrantly	खुल्लमखुल्ला
flagrent	घोर,लज्जाजनक
flagship	सर्वोत्कृष्ट,ध्वजपोत,सर्वोत्कृष्ट वस्तु
flagstaff	झंडा फहराने का स्तम्भ
flagstone	प्रस्तर खंड
flail	मूसल
flair	सूक्ष्मदर्शिता,जन्मजात प्रवृति
flak	जमीन पर से हवाई जहाज पर  हमला,कड़ी आलोचना
flake	हिमकण,षल्क,पपड़ी,फाहा,परत,मंच
flaked	टुकड़ों में
flakiness	अजीब बर्ताव
flaky	पपड़ीदार
flam	छल-कपट
flambe	खाने को जलाना
flambeau	मशाल
flamboyance	तड़क.भड़क
flamboyant	भड़कीला
flamboyantly	भड़कीले ढंग से
flame	ज्वाला,लपट,लौ,आग,चमक,प्रेम
flamenco	फ़्लमेन्को,फ़्लमेन्को
flaming	प्रज्वलित
flamingo	हंसावार
flammable	ज्वलनशील,ज्वलनशील
flan	एक तरह का केक
flange	कोर
flank	पाशर्व,बगल,बाजू,कोख
flannel	फलालेन
flannelette	सूती फ़लालेनअ
flannels	फ़लालेन की पैंट
flap	थपथपाना,पल्ला
flapjack	केक
flapper	शौकीन महिला
flare	धधकना,भड़कना,भभूका
flaring	लहरात हुआ
flash	कौंध,दमक,चैंध,क्षण,दिखावटी
flashback	पूर्वदृश्य
flasher	कौंधक,कामांग प्रदर्शक
flashiness	भड़कीलापन
flashing	अवरोध
flashlight	टर्च
flashpoint	हिंसात्मक क्षेट्र
flashy	चित्त आकर्षक
flask	बोतल
flat	समतल,चैरस,सपाट,फीका,स्पष्ट,साफ,चपटा
flatfish	चपटी मछली
flatlet	छोटा फ्लैट
flatly	पूरी तरह से
flatmate	साथ रहने वाले
flatness	समतलता
flatten	बराबर करना
flatter	चापलूसी
flatterer	चापलूस
flattering	चापलूसी करने वाला
flattery	चापलूसी
flatulence	वाई,वादी
flatulent	वातग्रस्त,आडमबरी,मिथ्याभिमानी
flatus	अधोवायु
flaunt	इठलाना,इतराना,फड़फड़ाना
flautist	बाँसुरी वादक
flavescent	आपीत
flavor	सुगन्ध,महक,रस
flavored	मसालेदार
flavoring	सुवासकारी पदार्थ
flavorless	बेस्वाद
flavour	स्वाद,रंग,अंदाज़ा,अनुमान,फ़्लेवर
flavoured	स्वादिष्ट या सुगंधित किया हुआ
flavouring	स्वादिष्ट बनाने के लिये मिलाया गया पदार्थ
flavourless	बिना स्वाद का
flaw	दरार,दोष
flawless	दोषरहित
flax	फलैक्स,क्षुमा
flaxen	सन के रंग का,पिलछौंहा
flaxseed	अलसी
flay	चमड़ा उतारना,लूटना,आलोचना
flea	पिस्सू
fleam	छुरिका,नष्तर
fleck	चकता,धबबा,दाग
fledge	पंख उगना,पखंदार
fledged	पंखदार,उड़ने योग्य
fledgeless	बिना पंक का
fledgeling	चिड़िया का बच्चा,अनुभवहीन,अनुभवहीन
fledgling	चिड़िया का बच्चा,अनुभवहीन,अनुभवहीन
flee	भागना,पलायन,फरार हो जाना,उड़ जाना
fleece	ऊन
fleecy	ऊनदार
fleer	उपसाह
fleet	नौसेना,बेड़ा,फुरतीला,बह जाना,गायब हो जाना
fleeting	क्षणभंगुर
fleetingly	क्षण भर को
flense	खाल,उतारना
flesh	मांस,गूदा,षरीर
fleshiness	मुटापा
fleshly	दैहिक,विषयासक्त
fleshpots	मनोरंजन के स्थान
fleshy	मांसल
flex	झुकना,मोड़ना
flexibility	सुनम्यता,लचीलापन
flexible	लचीला,नम्र
flextime	निश्चित समय न होना
flibbertigibbet	बक्की,बकवादी,गप्पी
flick	झटका,प्रहार,मारना
flicker	टिमटिमाना,झिलमिलाना
flier	विमानचालक
flies	स्टेज के ऊपर की जगह
flight	उड़ान,पलायन
flightiness	सनकीपन
flightless	उड़ने में असमर्थ
flighty	चंचल व्यवहार
flimsily	कमज़ोर ढंग से
flimsiness	भंगुरता
flimsy	तुच्छ,हलका,महीन,पतला,झीना
flinch	हट जाना,पीछे हटना
flinders	छिपटिया,टुकड़े
fling	फेंकना,पटकना,गिराना,त्यागना
flint	चकमक
flintlock	पुराने प्रकार की बन्दूक
flinty	चकमकयुक्त,कठोर,निर्मम
flip	उछालना
flippancy	हल्का स्वभाव
flippant	चंचल
flippantly	बिना गम्भीरता के
flippantness	छिछोरापन
flipper	मीनपक्ष
flipping	नापसंदगी दिखाना
flirt	झटका,इष्कबाज,हिलाना
flirtation	इश्कबाज़ी,प्रेम संबंध,खिलवाड़
flirtatious	छेड़छाड़ करनेवाला
flirtatiously	इश्कबाज़ी की अदा के साथ
flirty	इश्कबाज़
flit	चल देना,बदल देना,गुजरना
flitter	फड़फड़ाना
float	तिरना,तैरना,बहना,मॅंडराना
floatation	तैरता हुआ
floating	यायावर,अस्थिर
floccose	रोमिल
flocculation	ऊर्णन
flocculent	ऊर्णी,उनी
flocculus	गुच्छा,लच्छा
flock	रेवड़,झुण्ड,गल्ला,दल
floe	हिमप्लव,हिमवाह
flog	कोड़े लगाना,पीटना
flogger	कोड़ा मारने वाला
flogging	मारना पीटना
flood	बाढ़,प्रचुरता
flooded	जलप्लावित
floodgate	पानी का बहाव रोकने का दरवाज़ा
flooding	चढ़ा हुआ
floodlight	पूर.प्रकाश,पूर.प्रकाशित करना
floor	फर्श,तल,मजिंल,मंच
floorboard	फर्श बनाने का सामान
flooring	फर्श
floozie	चरित्रहीन महिला
floozy	चरित्रहीन महिला
flop	फड़फडाना,विफल
floppy	लटका हुआ,फ़्लपी
flora	वनस्पति
floral	पुष्प- विषयक,वनस्पतीय
florescence	पुष्प्ण
florescent	पुष्पित
floret	पुष्पक
floriculture	पुष्पोत्पादन
florid	गुलाबी,भड़कीला,अलंकृत
floridly	आलंकारिक रूप से
floriferous	पुष्पित
floriken	खरमोर
florilegium	चयनिका
florin	फ्लोरिन
florist	पुष्पविक्रेता
floss	लोमिक
flotation	तैरता हुआ,प्रवर्तन
flotila	नावों का समूह
flotilla	फलोटिया,बेड़ा
flotsam	बहता माल
flounce	हाथ-पैर मारना
flounced	झालर लगा हुआ
flounder	तड़फड़ाना
flour	आटा,मैदा
flouridation	पानी में फ्लोराइड मिलाना
flourine	एक घातक गैस
flourish	फलना- फूलना,उन्नति,घुमाना
flourishing	फलता.फूलता,बहुत फलता.फूलता,समृद्ध
flouroscence	चमक
flouroscent	अंधेरे में चमकने वाला पदार्थ
floury	आटे जैसा,आटे से भरा,नरम
flout	निरादर,अवज्ञा
flouter	हँसी उड़ाने वाला
flow	बहना,प्रवाहित,बहाव
flower	फूल,पुष्प
flowerbed	पुष्प क्यारी
flowered	पुष्प.सज्जित
flowering	पुष्पित,पुष्पण,विकास,विकास,खिला हुआ
flowerpot	पुष्प पाट्र
flowery	फूलदार,आलंकारिक,पुष्पमय
flu	फ़्लू
fluctuate	घटना- बढना,अस्थिर
fluctuation	उतार.चढ़ाव,बदलाव,अस्थिरता
flue	धुआंकश,चिमनी,जाल,छेद
fluency	प्रवाह
fluent	धाराप्रवाह
fluently	धाराप्रवाहिता के साथ
fluey	रोंयेदार
fluff	रोयाॅं
fluffy	फूला हुआ,रोयेंदार,नरम
fluid	तरल,अस्थिर
fluidity	अस्थिरता,प्रवाहिता,तरलता
fluke	फाल
flukey	संयोगजन्य
fluky	संयोगजन्य
flume	अवनालिका
flummery	चापलूसी
flummox	चकरा देना,हैरान करना
flummoxed	भौंचक्का
flump	पटक देना
flunk	अनुत्तीर्ण कर देना,अनुत्तीर्ण हो जाना
flunkey	चपरासी
flunky	चपरासी,चाटुकार,पिट्ठू
fluoresce	प्रदीप्त होना
fluorescence	प्रतिदीप्ति
fluorescent	प्रतिदीप्त,प्रतिदीप्तिशील
fluoridation	फ़्लोरिडीकरण
fluoride	फलोरीन गैस का एक मिश्र
fluorine	फ्लूरिन,फ़्लोराइनअ
flurry	झोका
flush	बहना,लाल हो जाना,धोना,बहाव,सपाट
flushed	लाल,उत्तेजित
fluster	घबरा देना,घबराना
flustered	घबराया हुआ,उद्विग्न
flute	मुरली,बाॅंसुरी
fluted	स्तम्भ आदि पर की गयी कारीगरी
fluting	बारीक कारीगरी
flutist	बाँसुरी वादक
flutter	फड़फड़ाना,मॅंडराना
fluvial	नदीय,नदी
flux	बहाव,प्रवाह,ज्वार
fluxion	प्रवाहन
fly	मक्खी,गाड़ी,पहिया,उड़ना,फहराना
flycatcher	शलभाष
flyer	द्रुत आरंभ,उड़ाका,विमान चालक,प्रचार.पर्ची
flying	उड़ान,उड़ता हुआ
flyleaf	किताब की जिल्द का पहला पन्ना
flyover	ऊपरी.मार्ग पुल,सलामी उड़ान,हवाई पुल
flypast	हवाई पुल
flysheet	तम्बू का बाहरी कवर
flyspeck	छोटा सा
flyweight	हल्का मुक्केबाज़,हल्का पहलवान
flywheel	मशीन में लगा लोहे का भारी चक्र
foal	बछेड़ा
foam	केन,झाग
foamy	झागदार,झाग के समान
fob	जेब
focal	केंद्रिय
focus	नाभि,सकेंद्रित
focussed	साफ दिखना
fodder	चारा
foe	शत्रु,दुश्मन,बैरी
foetal	भ्रूण जैसा,भ्रूण संबंधी,भ्रूण संबंधी
foeticide	भ्रूण,गर्भ
foetid	बदबूदार
foetor	दुर्गंध
foetus	भ्रूण
fog	कोहरा,कुहरा,धुंध
fogey	दकियानूसी
fogginess	अस्पष्टता
foggy	कोहरेदार
foghorn	कोहरा भोंपू
fogy	पुराने विचार का व्यक्ति
foible	कमजोरी,अवगुण
foil	पर्ण,पर्णी,पन्नी,तलवार,हरा देना
foilage	पत्तियाँ
foiled	विफल
foist	चालाकी से मिला देना,थोपना
folacin	फ़ोलैसिन
folate	फ़ोलेट
fold	बाड़ा,तह,परत,लपेटना
foldaway	जो मोड़ा जा सके
folder	पुस्तिका,फाइल
folderol	बकवास
foliaceous	पर्णिल,पत्रित
foliage	पर्ण समूह,बेल- बूटा
foliate	पर्णिल,पत्तिदार
foliation	पत्रण
folio	पन्ना
folk	जनसाधारण,लोक
folklore	लोकसाहित्य
folklorist	लोक कथाओं का अध्धयन करने वाला
folks	माता.पिता,सगे.संबंधी
folksong	लोकगीत
folksy	मिलनसार,पारंपरिक
follicle	पुटिका,रोमकूप
follow	पीछे- पीछे चलना,अनुसरण,पालन
follower	अनुगामी,अनुसरणकर्ता,अनुयायी
following	सहायक,आगामी,अनुगामी,निम्नलिखित,निम्नलिखित,निम्नांकित
folly	मूर्खता
foment	सेंकना,सेंकाई करना,उकसाना
fond	स्नेही,प्रिय
fondant	फ़न्डेन्ट टफ़ी,फ़न्डेन्ट
fondle	दुलारना,पुचकारना
fondly	प्रेमपूर्वक,भोलेपन से
fondness	लगाव,झुकाव,स्नेह
fondue	फ़न्ड्यू,फ़न्ड्यू
font	जल कुण्ड
fontanel	कलान्तराल
food	आहार,भोजन
foodstuff	खाद्य पदार्थ
fool	मूर्ख
foolery	बेवकूफ़ी
foolhardy	दुःसाहसी
foolish	मूर्ख,नासमझ,बेतकूफ,मूर्ख,मूर्ख,बेवकूफ,मूर्खतापूर्ण
foolishly	मूर्खता से
foolishness	मूर्खता
foolproof	विश्वसनीय और आसान
foolscap	कागज़ का एक नाप
foot	पैर,पाद्,चरण
footage	फुटमान
football	फ़ुटबाल,फ़ुटबाल
footballer	फ़ुटबल का खिलाड़ी
footballing	फ़ुटबल संबंधी
footbridge	पैदलपुल
footer	पैदल चलने वाला
footfall	पैरों की आहट
foothill	छोटा पर्वत जो बड़े पर्वत के आधार में हो
foothold	पाँव रखने की जगह,पकड़
footing	स्थिति,आधार,पैरों का जमाव
footlights	फूटलाइट्,फूटलाइट
footling	बेकार का
footloose	कहीं भी जाने को आज़ाद
footman	वर्दीधारी सेवक
footnote	पाद टिप्पणी
footpath	पटरी
footprint	पैर का चिह्न
footrest	पादपीठ,पायदान,मचिया
footsie	किसी के पैर को अपने पैरों से स्पर्श करना
footslog	पैर घसीट कर चलना
footsore	पैरों के छाले
footstep	कदम,पैरों की आहट,चरणचिन्ह
footstool	पैर रखने के लिए छोटा स्टूल
footsure	न डगमगाने वाला
footwear	जूता
footwork	कदम,फुटवर्क
fop	छेला
foppish	बना.ठना
for	के लिए,निमित्त
forage	चारा
foragecap	सैनिक टोपी
foramen	रन्ध्रक
forasmuch	क्योंकि,चूॅंकि
foray	छापा,लूटमार
forbear	पूर्वज,से दूर रहना
forbearance	सहिष्णुता
forbearing	धैर्य रखनेवाला
forbid	मना करना,निषेध
forbidden	वर्जित,निषिद्ध
forbidding	अप्रीतिकर
forbiddingly	डरावने ढंग से
force	बल,शक्ति,सेना,आवेग,बाध्य करना
forced	बलपूर्ण,अनिवार्य
forceful	प्रभावशाली,सशक्त,बलपूर्णअ
forcefully	ज़ोरदार तरीके से
forcefulness	प्रबलता
forcemeat	अच्छी तरह काटा हुआ गोश्त
forceps	चिमटी
forces	सेना
forcible	बलकृत
forcibly	बलपूर्वक
ford	पाॅज,पाॅंझ,घाट
fore	अग्र,सामने
forearm	तैयारी
forebear	पूर्वज
foreboding	पूर्वाभास
forecast	पूर्वानुमान
forecaster	भविष्यवक्ता,पूर्वानुमानकर्त्री,पूर्वानुमानकर्ता
forecasting	भविष्यवाणी
